"旅行種類 コード","旅行種類","時間軸（年次、四半期）","居住地","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】"
"100","国内旅行","2016年4～6月期","関東","35.17","0.7024","47,468","2.09","24.54","0.3593","53,513","1.55","12.34","0.1983","37,410","3.24","4.32","0.1448","46,244","1.86","28.62","0.7723","16,753","24.17","0.5255","17,385","6.21","0.1129","15,625","3.68","0.1339","15,222"
"100","国内旅行","2016年4～6月期","北陸信越","32.16","0.7727","47,299","1.58","23.91","0.2953","57,971","1.37","13.00","0.1860","45,529","1.82","4.80","0.2914","37,616","1.65","28.07","0.6177","15,412","23.74","0.4059","19,151","4.43","0.0659","11,117","5.38","0.1460","6,954"
"100","国内旅行","2016年4～6月期","中部","30.78","0.5450","51,799","1.98","23.05","0.3339","52,807","1.57","9.39","0.1418","25,766","2.06","2.83","0.0692","100,257","3.79","30.58","0.6877","17,909","26.09","0.4834","14,107","6.45","0.1082","34,408","3.29","0.0961","18,453"
"100","国内旅行","2016年4～6月期","近畿","31.00","0.6288","49,184","1.99","21.59","0.3015","57,258","1.60","11.01","0.1693","32,798","2.57","4.29","0.1580","51,336","2.12","27.45","0.7619","15,694","22.19","0.4860","14,159","6.42","0.1045","14,974","3.71","0.1713","20,489"
"100","国内旅行","2016年4～6月期","中国","28.20","0.5437","52,221","1.94","20.58","0.2987","56,344","1.49","9.69","0.1730","47,601","2.78","4.21","0.0720","46,219","1.80","25.76","0.5800","19,063","22.60","0.3710","16,680","4.70","0.0872","41,079","2.85","0.1218","10,563"
"100","国内旅行","2016年4～6月期","四国","28.21","0.5626","46,850","2.11","20.42","0.2693","60,350","1.89","9.89","0.1852","28,080","2.92","4.72","0.1081","45,371","1.29","30.02","0.9073","17,302","27.62","0.7138","16,332","4.58","0.0859","15,811","3.07","0.1076","24,927"
"100","国内旅行","2016年4～6月期","九州","24.27","0.4485","69,412","2.59","16.82","0.2300","45,694","1.38","8.19","0.1417","47,494","3.28","3.64","0.0768","180,908","4.94","18.16","0.3754","14,990","15.71","0.2957","14,307","3.91","0.0634","18,699","0.91","0.0163","12,942"
"100","国内旅行","2016年4～6月期","沖縄","25.69","0.3667","57,260","2.01","16.02","0.1819","62,323","1.92","8.47","0.1021","57,819","2.75","5.13","0.0827","45,430","1.31","7.13","0.1492","12,351","5.48","0.1005","10,748","2.35","0.0378","11,969","1.09","0.0109","28,521"
"100","国内旅行","2016年1～3月期","全国","31.13","0.5805","46,088","2.21","21.27","0.2952","53,248","1.59","12.17","0.1912","34,794","3.05","3.70","0.0941","46,571","2.43","22.76","0.5490","14,620","17.78","0.3494","14,748","5.86","0.0977","14,283","2.97","0.1019","14,504"
"100","国内旅行","2016年1～3月期","北海道","32.80","0.6684","48,453","3.76","20.91","0.3048","54,545","2.18","14.23","0.2559","38,196","4.08","5.58","0.1077","55,581","7.48","16.34","0.4655","11,156","10.57","0.2846","11,422","5.84","0.0967","12,135","2.64","0.0842","9,135"
"100","国内旅行","2016年1～3月期","東北","26.27","0.4909","46,350","2.94","17.99","0.2501","53,739","1.57","9.23","0.1231","30,665","2.95","3.67","0.1178","47,051","5.85","17.74","0.3581","16,297","12.58","0.2094","16,530","5.33","0.0819","19,394","2.81","0.0668","11,765"
"100","国内旅行","2016年1～3月期","関東","33.79","0.6397","44,778","2.21","22.54","0.3238","50,692","1.63","13.96","0.2274","36,926","3.27","3.90","0.0885","43,318","1.65","24.86","0.6110","15,035","19.68","0.3992","14,585","6.26","0.0974","15,356","3.19","0.1145","16,329"
"100","国内旅行","2016年1～3月期","北陸信越","31.16","0.5432","38,073","1.74","23.22","0.3047","45,425","1.48","10.69","0.1859","29,616","2.20","3.84","0.0526","25,380","1.67","16.34","0.3294","14,176","13.83","0.2106","11,761","3.01","0.0436","23,474","3.07","0.0752","15,547"
"100","国内旅行","2016年1～3月期","中部","30.07","0.5840","43,220","1.70","21.55","0.3161","54,282","1.34","10.13","0.1596","27,341","2.65","3.06","0.1084","34,336","1.33","26.97","0.6196","13,643","23.00","0.4443","14,597","5.93","0.0834","10,020","2.80","0.0918","12,318"
"100","国内旅行","2016年1～3月期","近畿","31.81","0.5983","46,604","2.00","22.33","0.2993","52,737","1.61","13.06","0.2007","35,171","2.64","3.55","0.0984","51,269","1.87","23.88","0.5636","14,984","17.82","0.3583","14,492","6.51","0.1079","14,706","3.43","0.0974","17,099"
"100","国内旅行","2016年1～3月期","中国","27.89","0.4671","47,918","2.11","18.12","0.2384","62,792","1.72","11.01","0.1452","28,743","2.90","2.92","0.0835","38,793","1.85","22.40","0.5370","16,395","17.76","0.3433","19,145","4.85","0.0885","13,265","2.52","0.1052","10,054"
"100","国内旅行","2016年1～3月期","四国","29.66","0.4637","53,483","2.79","18.86","0.2272","54,864","1.56","13.22","0.1844","51,796","4.63","2.48","0.0522","53,432","1.63","24.21","0.5454","18,622","18.28","0.3587","20,179","7.58","0.1379","18,590","2.31","0.0488","7,257"
"100","国内旅行","2016年1～3月期","九州","28.93","0.5305","53,243","2.08","20.09","0.2629","60,683","1.53","10.04","0.1544","31,341","2.61","4.12","0.1132","65,842","2.65","20.05","0.5738","12,400","15.05","0.2827","12,936","5.95","0.1424","10,629","2.62","0.1486","13,074"
"100","国内旅行","2016年1～3月期","沖縄","17.13","0.2437","65,193","2.89","10.53","0.1090","71,406","1.98","7.37","0.1017","60,751","4.18","2.93","0.0331","58,381","1.89","4.59","0.0539","9,554","3.83","0.0413","8,293","0.23","0.0046","7,443","0.54","0.0080","17,233"
